Judul Masakan,Waktu Masak,Tingkat Kesulitan,Jumlah Porsi,Bahan-bahan,URL Sumber,Bahan-bahan_cleaned,Bahan-bahan_cleaned_nostop,bahan-bahan_fix,Waktu Masak (menit),Jumlah Porsi (int),Tingkat Kesulitan (ordinal),bahan_list,asam jawa,bawang,bawang merah,bawang putih,cabai,cabai hijau,cabai merah,cabai rawit,cengkih,cuka,daging ayam,daging kambing,daging sapi,daun bawang,daun jeruk,daun salam,garam,gula,gula merah,gula pasir,ikan,jagung,jahe,jamur,jeruk nipis,kacang,kaldu ayam,kaldu sapi,kayu manis,kecap manis,kemangi,kemiri,kencur,ketumbar,kol,kunyit,lengkuas,limau,merica,santan,seledri,serai,tahu,telur,tempe,tomat,udang,wijen,wortel
Resep Tempe Goreng Tepung Pedas Krispi yang Bikin Nagih,30mnt,Mudah,4 Porsi,"300 g tempe, iris tipis, 150 g tepung terigu, 1 sdm tepung maizena, ⅓ sdt baking powder, 320 ml air, 1 batang daun bawang, iris tipis, 4 buah cabai rawit, cincang halus, 1 sdtRoyco Kaldu Ayam, Minyak, untuk menggoreng, 6 butir bawang merah, 4 siung bawang putih, 1 sdm ketumbar bubuk, ½ sdt merica putih bubuk",https://www.masakapahariini.com/resep/resep-tempe-goreng-tepung-pedas/,"['g', 'tempe', 'iris', 'tipis', 'g', 'tepung', 'terigu', 'sdm', 'tepung', 'maizena', 'sdt', 'baking', 'powder', 'ml', 'air', 'batang', 'daun', 'bawang', 'iris', 'tipis', 'buah', 'cabai', 'rawit', 'cincang', 'halus', 'sdtroyco', 'kaldu', 'ayam', 'minyak', 'untuk', 'menggoreng', 'butir', 'bawang', 'merah', 'siung', 'bawang', 'putih', 'sdm', 'ketumbar', 'bubuk', 'sdt', 'merica', 'putih', 'bubuk']","['tempe', 'tepung', 'terigu', 'tepung', 'maizena', 'baking', 'daun', 'bawang', 'cabai', 'rawit', 'kaldu', 'ayam', 'minyak', 'bawang', 'merah', 'bawang', 'putih', 'ketumbar', 'merica', 'putih']","bawang putih, bawang merah, kaldu ayam, cabai rawit, daun bawang, merica, ketumbar, tempe",30,4,1.0,"['bawang putih', 'bawang merah', 'kaldu ayam', 'cabai rawit', 'daun bawang', 'merica', 'ketumbar', 'tempe']",0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"Resep Kikil Sapi Kuah Pedas Manis, Empuk, Kenyal, dan Sedap",2j 30mnt,Sedang,4 Porsi,"500 g             				tunjang atau kikil yang sudah dibersihkan, 2 lembar             				daun salam, 6 lembar             				daun jeruk, 2 batang             				serai, memarkan, 2 sdmBango Kecap Manis, 1 sdtRoyco Kaldu Sapi, 10 buah             				cabai rawit merah utuh, 2 buah             				tomat, potong 4 bagian, 3 sdm             				minyak, untuk menumis, Air, untuk merebus, 10 butir             				bawang merah, 4 siung             				bawang putih, 5 buah             				cabai rawit merah, 3 buah             				cabai merah besar, 3 cm             				jahe, 3 butir             				kemiri, 2 cm             				kunyit, 1 sdm             				ketumbar bubuk, 1 sdt             				garam, ½ sdt             				merica bubuk, Bawang goreng, Jeruk limau",https://www.masakapahariini.com/resep/resep-kikil-sapi-kuah-pedas-manis-empuk-kenyal-dan-sedap/,"['g', 'tunjang', 'atau', 'kikil', 'yang', 'sudah', 'dibersihkan', 'lembar', 'daun', 'salam', 'lembar', 'daun', 'jeruk', 'batang', 'serai', 'memarkan', 'sdmbango', 'kecap', 'manis', 'sdtroyco', 'kaldu', 'sapi', 'buah', 'cabai', 'rawit', 'merah', 'utuh', 'buah', 'tomat', 'potong', 'bagian', 'sdm', 'minyak', 'untuk', 'menumis', 'air', 'untuk', 'merebus', 'butir', 'bawang', 'merah', 'siung', 'bawang', 'putih', 'buah', 'cabai', 'rawit', 'merah', 'buah', 'cabai', 'merah', 'besar', 'cm', 'jahe', 'butir', 'kemiri', 'cm', 'kunyit', 'sdm', 'ketumbar', 'bubuk', 'sdt', 'garam', 'sdt', 'merica', 'bubuk', 'bawang', 'goreng', 'jeruk', 'limau']","['tunjang', 'kikil', 'yang', 'sudah', 'dibersihkan', 'daun', 'salam', 'daun', 'jeruk', 'serai', 'kecap', 'manis', 'kaldu', 'sapi', 'cabai', 'rawit', 'merah', 'tomat', 'minyak', 'bawang', 'merah', 'bawang', 'putih', 'cabai', 'rawit', 'merah', 'cabai', 'merah', 'jahe', 'kemiri', 'kunyit', 'ketumbar', 'garam', 'merica', 'bawang', 'goreng', 'jeruk', 'limau']","bawang putih, bawang merah, kecap manis, cabai merah, cabai rawit, daun salam, daun jeruk, kaldu sapi, limau, bawang, garam, merica, serai, jahe, kemiri, ketumbar, tomat, kunyit",150,4,2.0,"['bawang putih', 'bawang merah', 'kecap manis', 'cabai merah', 'cabai rawit', 'daun salam', 'daun jeruk', 'kaldu sapi', 'limau', 'bawang', 'garam', 'merica', 'serai', 'jahe', 'kemiri', 'ketumbar', 'tomat', 'kunyit']",0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0
Resep Tempe Penyet Sambal Petis Sederhana ala Rumahan,30mnt,Mudah,4 Porsi,"300 g tempe, potong tebal 2 cm, ½ sdm garam, 1 sdt ketumbar bubuk, 500 ml santan dari 1/2 butir kelapa, 5 buah cabai merah keriting, goreng, 5 buah cabai rawit merah, goreng, 2 siung bawang putih, goreng, 2 sdm petis, ¼ sdt garam, ¼ sdt gula pasir, 2 sdmBango Kecap Manis, 25 ml air hangat",https://www.masakapahariini.com/resep/resep-tempe-penyet-saus-petis/,"['g', 'tempe', 'potong', 'tebal', 'cm', 'sdm', 'garam', 'sdt', 'ketumbar', 'bubuk', 'ml', 'santan', 'dari', 'butir', 'kelapa', 'buah', 'cabai', 'merah', 'keriting', 'goreng', 'buah', 'cabai', 'rawit', 'merah', 'goreng', 'siung', 'bawang', 'putih', 'goreng', 'sdm', 'petis', 'sdt', 'garam', 'sdt', 'gula', 'pasir', 'sdmbango', 'kecap', 'manis', 'ml', 'air', 'hangat']","['tempe', 'garam', 'ketumbar', 'santan', 'kelapa', 'cabai', 'merah', 'keriting', 'goreng', 'cabai', 'rawit', 'merah', 'goreng', 'bawang', 'putih', 'goreng', 'petis', 'garam', 'gula', 'pasir', 'kecap', 'manis']","bawang putih, kecap manis, cabai merah, cabai rawit, gula pasir, garam, ketumbar, santan, tempe",30,4,1.0,"['bawang putih', 'kecap manis', 'cabai merah', 'cabai rawit', 'gula pasir', 'garam', 'ketumbar', 'santan', 'tempe']",0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Resep Bakmi Jawa Jogja Goreng Enak dan Gampang Bikinnya,1jam,Mudah,2 Porsi,"200 g mie basah, 150 g dada ayam fillet, potong dadu, 3 butir telur ayam, 20 g sawi hijau, potong ukuran 2 cm, 3 sdtRoyco Kaldu Ayam, 3 sdmBango Kecap Manis, ½ sdt garam, 150 ml air, 5 sdm minyak sayur, 5 butir bawang merah, 3 siung bawang putih, 15 g kemiri, sangrai, 10 g ebi kering, sangrai, 3 sdm minyak sayur, 2 sdm bawang merah goreng, 5 g kerupuk bawang",https://www.masakapahariini.com/resep/resep-bakmi-jogja-goreng/,"['g', 'mie', 'basah', 'g', 'dada', 'ayam', 'fillet', 'potong', 'dadu', 'butir', 'telur', 'ayam', 'g', 'sawi', 'hijau', 'potong', 'ukuran', 'cm', 'sdtroyco', 'kaldu', 'ayam', 'sdmbango', 'kecap', 'manis', 'sdt', 'garam', 'ml', 'air', 'sdm', 'minyak', 'sayur', 'butir', 'bawang', 'merah', 'siung', 'bawang', 'putih', 'g', 'kemiri', 'sangrai', 'g', 'ebi', 'kering', 'sangrai', 'sdm', 'minyak', 'sayur', 'sdm', 'bawang', 'merah', 'goreng', 'g', 'kerupuk', 'bawang']","['mie', 'basah', 'dada', 'ayam', 'telur', 'ayam', 'sawi', 'hijau', 'kaldu', 'ayam', 'kecap', 'manis', 'garam', 'minyak', 'sayur', 'bawang', 'merah', 'bawang', 'putih', 'kemiri', 'ebi', 'kering', 'minyak', 'sayur', 'bawang', 'merah', 'goreng', 'kerupuk', 'bawang']","bawang putih, bawang merah, kecap manis, kaldu ayam, bawang, garam, kemiri, telur",60,2,1.0,"['bawang putih', 'bawang merah', 'kecap manis', 'kaldu ayam', 'bawang', 'garam', 'kemiri', 'telur']",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Resep Sayur Asem Bening Sederhana ala Rumahan, Segar dan Mudah Dibuat",45mnt,Mudah,4 Porsi,"1 buah             				jagung manis, potong 4-5 bagian, 1 buah             				labu siam, kupas, potong kotak 2,5 cm, 70 g             				melinjo, 4 sdm             				kacang tanah, 5 batang             				kacang panjang, potong 3 cm, 30 g             				daun melinjo, 1200 ml             				air, 7 butir             				bawang merah, iris, 4 buah             				cabai merah, belah 2 bagian, 3 cm             				lengkuas, memarkan, 2 lembar             				daun salam, 2 sdm             				asam jawa, larutkan dengan 3 sdm air, ½ sdmRoyco Kaldu Ayam, 1 sdt             				garam, 1 sdm             				gula merah sisir",https://www.masakapahariini.com/resep/resep-sayur-asem-bening-sederhana/,"['buah', 'jagung', 'manis', 'potong', 'bagian', 'buah', 'labu', 'siam', 'kupas', 'potong', 'kotak', 'cm', 'g', 'melinjo', 'sdm', 'kacang', 'tanah', 'batang', 'kacang', 'panjang', 'potong', 'cm', 'g', 'daun', 'melinjo', 'ml', 'air', 'butir', 'bawang', 'merah', 'iris', 'buah', 'cabai', 'merah', 'belah', 'bagian', 'cm', 'lengkuas', 'memarkan', 'lembar', 'daun', 'salam', 'sdm', 'asam', 'jawa', 'larutkan', 'dengan', 'sdm', 'air', 'sdmroyco', 'kaldu', 'ayam', 'sdt', 'garam', 'sdm', 'gula', 'merah', 'sisir']","['jagung', 'manis', 'labu', 'siam', 'melinjo', 'kacang', 'kacang', 'daun', 'melinjo', 'bawang', 'merah', 'cabai', 'merah', 'lengkuas', 'daun', 'salam', 'asam', 'jawa', 'kaldu', 'ayam', 'garam', 'gula', 'merah']","bawang merah, kaldu ayam, cabai merah, daun salam, gula merah, asam jawa, garam, lengkuas, kacang, jagung",45,4,1.0,"['bawang merah', 'kaldu ayam', 'cabai merah', 'daun salam', 'gula merah', 'asam jawa', 'garam', 'lengkuas', 'kacang', 'jagung']",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Resep Ayam Goreng Kemangi Pedas Manis yang Gurih dan Wangi,1jam,Sedang,4 Porsi,"1 ekor (800 g) ayam, potong 28 bagian, 500 ml air, 25 g daun kemangi, siangi, 2 sdmBango Kecap Manis, 2 sdt garam, ½ sdt merica bubuk, 500 ml minyak, untuk menggoreng, 12 butir bawang merah, 3 siung bawang putih, 4 cm kunyit, sangrai, 3 buah cabai rawit merah, 3 cm jahe, 100 g daun kemangi, siangi",https://www.masakapahariini.com/resep/resep-ayam-kemangi-goreng/,"['ekor', 'g', 'ayam', 'potong', 'bagian', 'ml', 'air', 'g', 'daun', 'kemangi', 'siangi', 'sdmbango', 'kecap', 'manis', 'sdt', 'garam', 'sdt', 'merica', 'bubuk', 'ml', 'minyak', 'untuk', 'menggoreng', 'butir', 'bawang', 'merah', 'siung', 'bawang', 'putih', 'cm', 'kunyit', 'sangrai', 'buah', 'cabai', 'rawit', 'merah', 'cm', 'jahe', 'g', 'daun', 'kemangi', 'siangi']","['ayam', 'daun', 'kemangi', 'kecap', 'manis', 'garam', 'merica', 'minyak', 'bawang', 'merah', 'bawang', 'putih', 'kunyit', 'cabai', 'rawit', 'merah', 'jahe', 'daun', 'kemangi']","bawang putih, bawang merah, kecap manis, cabai rawit, garam, merica, jahe, kunyit, kemangi",60,4,2.0,"['bawang putih', 'bawang merah', 'kecap manis', 'cabai rawit', 'garam', 'merica', 'jahe', 'kunyit', 'kemangi']",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Resep Tumis Kacang Panjang Tempe Sederhana dan Lezat,30mnt,Mudah,4 Porsi,"200 g tempe, kukus dan potong dadu, 200 g kacang panjang, siangi dan potong 3 cm, 10 buah mata petai, iris memanjang, 2 siung bawang putih, iris tipis, 3 butir bawang merah, iris tipis, 2 buah cabai merah besar, buang bijinya dan iris serong, 1 lembar daun salam, 1 cm lengkuas, memarkan, 1 sdmBango Kecap Manis, ½ sdt gula pasir, ½ sdt garam, ¼ sdt merica putih bubuk, 150 ml air, 1 sdm minyak sayur",https://www.masakapahariini.com/resep/tumis-tempe-kacang-panjang-kecap/,"['g', 'tempe', 'kukus', 'dan', 'potong', 'dadu', 'g', 'kacang', 'panjang', 'siangi', 'dan', 'potong', 'cm', 'buah', 'mata', 'petai', 'iris', 'memanjang', 'siung', 'bawang', 'putih', 'iris', 'tipis', 'butir', 'bawang', 'merah', 'iris', 'tipis', 'buah', 'cabai', 'merah', 'besar', 'buang', 'bijinya', 'dan', 'iris', 'serong', 'lembar', 'daun', 'salam', 'cm', 'lengkuas', 'memarkan', 'sdmbango', 'kecap', 'manis', 'sdt', 'gula', 'pasir', 'sdt', 'garam', 'sdt', 'merica', 'putih', 'bubuk', 'ml', 'air', 'sdm', 'minyak', 'sayur']","['tempe', 'kukus', 'kacang', 'mata', 'petai', 'bawang', 'putih', 'bawang', 'merah', 'cabai', 'merah', 'bijinya', 'daun', 'salam', 'lengkuas', 'kecap', 'manis', 'gula', 'pasir', 'garam', 'merica', 'putih', 'minyak', 'sayur']","bawang putih, bawang merah, kecap manis, cabai merah, daun salam, gula pasir, garam, merica, lengkuas, kacang, tempe",30,4,1.0,"['bawang putih', 'bawang merah', 'kecap manis', 'cabai merah', 'daun salam', 'gula pasir', 'garam', 'merica', 'lengkuas', 'kacang', 'tempe']",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
"Resep Ketupat Sayur Padang, Sarapan Spesial Untuk Weekend Ini",1jam,Sedang,4 Porsi,"250 g daging sapi bagian sengkel. potong-potong, 200 ml santan kental, 300 ml susu cair rendah lemak, 1 L air, 200 g buncis, iris serong, 250 g nangka muda, potong 3x2 cm, rebus hingga empuk, 1 lembar daun kunyit, 1 batang serai, memarkan, 4 lembar daun jeruk, 2 lembar daun salam, 1 sdmRoyco Kaldu Sapi, 3 sdm minyak, untuk menumis, 12 butir bawang merah, 10 buah cabai merah keriting, 8 siung bawang putih, 6 butir kemiri, 5 cm jahe, 5 cm lengkuas, 4 cm kunyit, kerupuk merah, telur rebus, ketupat, bawang goreng",https://www.masakapahariini.com/resep/resep-ketupat-sayur-padang/,"['g', 'daging', 'sapi', 'bagian', 'sengkel', 'potongpotong', 'ml', 'santan', 'kental', 'ml', 'susu', 'cair', 'rendah', 'lemak', 'l', 'air', 'g', 'buncis', 'iris', 'serong', 'g', 'nangka', 'muda', 'potong', 'x', 'cm', 'rebus', 'hingga', 'empuk', 'lembar', 'daun', 'kunyit', 'batang', 'serai', 'memarkan', 'lembar', 'daun', 'jeruk', 'lembar', 'daun', 'salam', 'sdmroyco', 'kaldu', 'sapi', 'sdm', 'minyak', 'untuk', 'menumis', 'butir', 'bawang', 'merah', 'buah', 'cabai', 'merah', 'keriting', 'siung', 'bawang', 'putih', 'butir', 'kemiri', 'cm', 'jahe', 'cm', 'lengkuas', 'cm', 'kunyit', 'kerupuk', 'merah', 'telur', 'rebus', 'ketupat', 'bawang', 'goreng']","['daging', 'sapi', 'santan', 'susu', 'lemak', 'buncis', 'nangka', 'x', 'empuk', 'daun', 'kunyit', 'serai', 'daun', 'jeruk', 'daun', 'salam', 'kaldu', 'sapi', 'minyak', 'bawang', 'merah', 'cabai', 'merah', 'keriting', 'bawang', 'putih', 'kemiri', 'jahe', 'lengkuas', 'kunyit', 'kerupuk', 'merah', 'telur', 'ketupat', 'bawang', 'goreng']","bawang putih, bawang merah, cabai merah, daun salam, daun jeruk, kaldu sapi, daging sapi, bawang, serai, jahe, lengkuas, kemiri, santan, telur, kunyit",60,4,2.0,"['bawang putih', 'bawang merah', 'cabai merah', 'daun salam', 'daun jeruk', 'kaldu sapi', 'daging sapi', 'bawang', 'serai', 'jahe', 'lengkuas', 'kemiri', 'santan', 'telur', 'kunyit']",0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0
Resep Tahu Jeletot Super Pedas dan Krispi yang Bikin Nagih,45mnt,Mudah,4 Porsi,"10 buah tahu putih, goreng hingga kecokelatan, 150 g udang, cincang, 50 g wortel, potong korek api, 50 g kol, cincang kasar, 1 batang daun bawang, iris tipis, 1 batang seledri, iris tipis, 1 sdmBango Kecap Manis Pedas, minyak, untuk menumis, 100 g tepung terigu, 1.5 sdm tepung beras, 1 sdm tepung tapioka, 1 sdt ketumbar bubuk, ½ sdt garam, 1 batang daun bawang, iris tipis, 150 ml air, 10 buah cabai rawit merah, 5 butir bawang merah, 2 siung bawang putih, 1 sdtRoyco Kaldu Ayam, ½ sdt merica",https://www.masakapahariini.com/resep/resep-tahu-jeletot/,"['buah', 'tahu', 'putih', 'goreng', 'hingga', 'kecokelatan', 'g', 'udang', 'cincang', 'g', 'wortel', 'potong', 'korek', 'api', 'g', 'kol', 'cincang', 'kasar', 'batang', 'daun', 'bawang', 'iris', 'tipis', 'batang', 'seledri', 'iris', 'tipis', 'sdmbango', 'kecap', 'manis', 'pedas', 'minyak', 'untuk', 'menumis', 'g', 'tepung', 'terigu', 'sdm', 'tepung', 'beras', 'sdm', 'tepung', 'tapioka', 'sdt', 'ketumbar', 'bubuk', 'sdt', 'garam', 'batang', 'daun', 'bawang', 'iris', 'tipis', 'ml', 'air', 'buah', 'cabai', 'rawit', 'merah', 'butir', 'bawang', 'merah', 'siung', 'bawang', 'putih', 'sdtroyco', 'kaldu', 'ayam', 'sdt', 'merica']","['tahu', 'putih', 'goreng', 'kecokelatan', 'udang', 'wortel', 'kol', 'daun', 'bawang', 'seledri', 'kecap', 'manis', 'minyak', 'tepung', 'terigu', 'tepung', 'beras', 'tepung', 'tapioka', 'ketumbar', 'garam', 'daun', 'bawang', 'cabai', 'rawit', 'merah', 'bawang', 'merah', 'bawang', 'putih', 'kaldu', 'ayam', 'merica']","bawang putih, bawang merah, kecap manis, kaldu ayam, cabai rawit, daun bawang, garam, merica, ketumbar, seledri, tahu, kol, wortel, udang",45,4,1.0,"['bawang putih', 'bawang merah', 'kecap manis', 'kaldu ayam', 'cabai rawit', 'daun bawang', 'garam', 'merica', 'ketumbar', 'seledri', 'tahu', 'kol', 'wortel', 'udang']",0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1
"Resep Sate Bulayak Pedas Khas Lombok, Pedas dan Nikmat",1jam,Mudah,2 Porsi,"400 g             				daging sapi, potong dadu 1,5 cm, 1 sdm             				air jeruk nipis, 1 sdmBango Kecap Manis, 1 sdtRoyco Kaldu Sapi, 3 sdm             				santan instan, 100 ml             				air, 2 sdm             				minyak, untuk menumis, Tusuk sate, 8 butir             				bawang merah, 5 siung             				bawang putih, 8 buah             				buah cabai rawit merah, 3 sdm             				kacang tanah sangrai, Lontong, potong-potong, Bango Kecap Manis, 2 buah             				jeruk limau, potong 2 bagian, 10 buah             				cabai rawit hijau, iris",https://www.masakapahariini.com/resep/resep-sate-bulayak-pedas-khas-lombok-pedas-dan-nikmat/,"['g', 'daging', 'sapi', 'potong', 'dadu', 'cm', 'sdm', 'air', 'jeruk', 'nipis', 'sdmbango', 'kecap', 'manis', 'sdtroyco', 'kaldu', 'sapi', 'sdm', 'santan', 'instan', 'ml', 'air', 'sdm', 'minyak', 'untuk', 'menumis', 'tusuk', 'sate', 'butir', 'bawang', 'merah', 'siung', 'bawang', 'putih', 'buah', 'buah', 'cabai', 'rawit', 'merah', 'sdm', 'kacang', 'tanah', 'sangrai', 'lontong', 'potongpotong', 'bango', 'kecap', 'manis', 'buah', 'jeruk', 'limau', 'potong', 'bagian', 'buah', 'cabai', 'rawit', 'hijau', 'iris']","['daging', 'sapi', 'jeruk', 'nipis', 'kecap', 'manis', 'kaldu', 'sapi', 'santan', 'minyak', 'sate', 'bawang', 'merah', 'bawang', 'putih', 'cabai', 'rawit', 'merah', 'kacang', 'lontong', 'bango', 'kecap', 'manis', 'jeruk', 'limau', 'cabai', 'rawit', 'hijau']","bawang putih, bawang merah, kecap manis, cabai rawit, kaldu sapi, daging sapi, jeruk nipis, limau, santan, kacang",60,2,1.0,"['bawang putih', 'bawang merah', 'kecap manis', 'cabai rawit', 'kaldu sapi', 'daging sapi', 'jeruk nipis', 'limau', 'santan', 'kacang']",0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
